body,title,url
"Periodista desde hace 10 años. Previamente ha laborado en otros medios de comunicación como Panamericana Televisión y el Grupo RPP, donde fue productora de Radio Capital. Actualmente escribe para la sección Política. ",,https://elcomercio.pe/autor/thalia-cadenas/
"Periodista de El Comercio desde el 2013. Especializado en la cobertura judicial. Ha trabajado en las secciones Política y Mundo. Formó parte de la campaña #NoTePases. En la actualidad, integra el equipo de Informes Especiales. ",,https://elcomercio.pe/autor/rodrigo-cruz/
"Escribe sobre política exterior desde el 2005. Ha cubierto elecciones presidenciales en Estados Unidos, Bolivia y Ecuador. Ex becaria de la Embajada de Israel y del Departamento de Estado de EE.UU. Coautora del libro ""La inevitable globalización"". Ganadora del Premio Siemens de Periodismo 2011, Tecnologías Verdes y Desarrollo Sostenible.",,https://elcomercio.pe/autor/gisella-lopez-lenci/
"Estudió Literatura en la Pontificia Universidad Católica del Perú y Periodismo en el Centre de Formation et de Perfectionnement des Journalistes,París,Francia. Ingresó a la revista Caretas en 1986,retirándose en el 2014 como Editor Ejecutivo. Ingresó a El Comercio en el 2015 como Editor de Proyectos Especiales. Hoy es Asesor Editorial.",,https://elcomercio.pe/autor/jaime-bedoya/
La notas firmadas como “Redacción EC” son producidas por miembros de nuestra redacción bajo la supervisión del editor de la sección en las que son publicadas. Puede conocer a nuestro equipo editorial principal en https://elcomercio.pe/buenas-practicas/,,https://elcomercio.pe/autor/redaccion-ec/
"Chincha, 1993. Comunicador y periodista por la Universidad Peruana de Ciencias Aplicadas (UPC). Colaborador en la sección web de Tecnología, Ciencias e eSports desde 2022.",,https://elcomercio.pe/autor/gabriel-garcia-herrera/
"Bachiller en Ciencias de la Comunicación por la Universidad San Martín de Porres. Becario del programa IVLP 2016 del Departamento de Estado de EE.UU. y ganador del premio IVLP Communications 2017. Ingresó a El Comercio en el 2014, como parte de los equipos de Mundo y Posdata, donde publicó más de 500 entrevistas.",,https://elcomercio.pe/autor/renzo-giner-vasquez/
/ Entrevista,,https://elcomercio.pe/somos/historias/padre-omar-sanchez-no-voy-a-quedarme-callado-por-ser-cura-entrevista-asociacion-bienaventuranzas-politica-historias-ec-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",,https://elcomercio.pe/deporte-total/polideportivo/ryan-garcia-vs-javier-fortuna-en-vivo-hoy-via-dazn-y-espn-en-el-cryptocom-arena-hora-cartelera-tv-y-donde-ver-la-pelea-de-box-online-y-en-directo-video-rmmd-dtbn-lbposting-mx-cdmx-usa-eeuu-ar-es-noticia/
03/07/2022 _ 15:18,,https://elcomercio.pe/peru/piura/
16/07/2022 _ 18:41,,https://elcomercio.pe/lima/sucesos/
08/07/2022 _ 08:07,,https://elcomercio.pe/desde-la-redaccion/promociones/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Elmer Faucett y su aterrizaje en la selva,https://elcomercio.pe/el-comercio-tv/elmer-faucett-y-su-aterrizaje-en-la-selva-cuenta-la-historia-narp-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Disfruta y aprende de cerveza en el Beer Academy de Backus | #ExperienciasEC,https://elcomercio.pe/desde-la-redaccion/disfruta-y-aprende-de-cerveza-en-el-beer-academy-experience-de-backus-experienciasec-noticia/
16/07/2022 _ 05:35,,https://elcomercio.pe/autor/editorial-el-comercio/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",EE.UU.: al menos 5 muertos por choque múltiple en Montana,https://elcomercio.pe/mundo/eeuu/montana-estados-unidos-al-menos-5-muertos-por-choque-multiple-en-montana-noticia/
"El Servicio Nacional de Meteorología e Hidrología del Perú (Senamhi) pronosticó que la temperatura mínima en Lima Este será de 13°C para hoy, sábado 16 de julio del 2022, en el inicio de la temporada de invierno, que será uno de los más fríos de los últimos años.","Clima en Lima hoy, sábado 16 de julio del 2022: Senamhi pronosticó una temperatura mínima de 13°C ",https://elcomercio.pe/lima/sucesos/clima-en-lima-hoy-sabado-16-de-julio-senamhi-pronostica-una-temperatura-minima-de-13c-rmmn-noticia/
16/07/2022 _ 20:23,,https://elcomercio.pe/deporte-total/futbol-peruano/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.","Luce moda y belleza con Lola, Amphora y Mae Alcott",https://elcomercio.pe/desde-la-redaccion/luce-moda-y-belleza-con-lola-amphora-y-mae-alcott-noticia/
16/07/2022 _ 20:23,,https://elcomercio.pe/deporte-total/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Pedro Castillo cuestiona a la prensa y las encuestas: “Once meses y no encuentran una sola prueba”,https://elcomercio.pe/politica/actualidad/pedro-castillo-cuestiona-a-la-prensa-y-las-encuestas-once-meses-y-no-encuentran-una-sola-prueba-video-zamir-villaverde-yenifer-paredes-rmmn-noticia/
"/ RevisiónCrítica de un servicio, producto u obra creativa.",“La lista terminal”: ¿ver o no ver la serie de acción de Chris Pratt en Prime Video? | RESEÑA,https://elcomercio.pe/saltar-intro/prime-video/series/la-lista-terminal-ver-o-no-ver-la-serie-de-accion-de-chris-pratt-en-amazon-prime-video-resena-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Adolescentes infractores a prisión: ¿es viable proyecto para que menores sean condenados por delitos graves?,https://elcomercio.pe/lima/sucesos/adolescentes-infractores-a-prision-es-viable-proyecto-para-que-menores-sean-condenados-por-delitos-graves-ministerio-de-justicia-responsabilidad-penal-centro-juvenil-de-rehabilitacion-carcel-noticia/
